GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
log-analyzer-tool,be.sdutry,App,10,37,0,0,3,9,1,1,1,1
log-analyzer-tool,be.sdutry.util,ReportSerializer,0,27,0,0,0,7,0,2,0,2
log-analyzer-tool,be.sdutry.util,RenderingSummarizer,0,48,0,6,0,13,0,5,0,2
log-analyzer-tool,be.sdutry.model.log,LogLine,0,77,0,4,0,20,0,11,0,9
log-analyzer-tool,be.sdutry.model.log,LogLevel,0,44,0,0,0,5,0,1,0,1
log-analyzer-tool,be.sdutry.processor,LogFileProcessor,4,197,5,15,2,45,5,13,0,8
log-analyzer-tool,be.sdutry.model.output,Report,0,23,0,0,0,7,0,3,0,3
log-analyzer-tool,be.sdutry.model.output,RenderingSummary,0,21,0,0,0,8,0,4,0,4
log-analyzer-tool,be.sdutry.model.output,Rendering,0,55,0,0,0,17,0,9,0,9
log-analyzer-tool,be.sdutry.util.converter,LocalDateTimeXmlConverter,4,9,0,0,1,3,1,2,1,2
